tf,motif,percentile,fold,metric,value
GATA2,shape_and_jaspar,,3,aupr,0.6877740822223841
GATA2,shape_and_jaspar,,4,aupr,0.6662198562723087
GATA2,shape_and_seq_no_lasso,,main,aupr,0.6864690444945188
GATA2,shape_and_seq_no_lasso,,0,aupr,0.562107475523125
GATA2,shape_and_seq_no_lasso,,1,aupr,0.6603214656493601
GATA2,shape_and_seq_no_lasso,,2,aupr,0.6561329745729727
GATA2,shape_and_seq_no_lasso,,3,aupr,0.5926241570092066
GATA2,shape_and_seq_no_lasso,,4,aupr,0.6674662275324171
HNF4G,seq,,main,aupr,0.748646425100866
HNF4G,seq,,0,aupr,0.6517648216941389
HNF4G,seq,,1,aupr,0.6659193823556578
HNF4G,seq,,2,aupr,0.6622192275799557
HNF4G,seq,,3,aupr,0.705701994081735
HNF4G,seq,,4,aupr,0.6631785402188164
HNF4G,shape,,main,aupr,0.6373984747721928
HNF4G,shape,,0,aupr,0.4756785714285715
HNF4G,shape,,1,aupr,0.6842976804123713
HNF4G,shape,,2,aupr,0.5479859318335485
HNF4G,shape,,3,aupr,0.593125
HNF4G,shape,,4,aupr,0.584658273381295
HNF4G,shape_and_seq,,main,aupr,0.7906016455618359
HNF4G,shape_and_seq,,0,aupr,0.6818766599523292
HNF4G,shape_and_seq,,1,aupr,0.7634657852077497
HNF4G,shape_and_seq,,2,aupr,0.7728629742170708
HNF4G,shape_and_seq,,3,aupr,0.7678166880054796
HNF4G,shape_and_seq,,4,aupr,0.7385047728011421
HNF4G,jaspar,,main,aupr,0.6399875226230165
HNF4G,jaspar,,0,aupr,0.5721255095519866
HNF4G,jaspar,,1,aupr,0.6493346007646275
HNF4G,jaspar,,2,aupr,0.6645616472096327
HNF4G,jaspar,,3,aupr,0.6579762986424564
HNF4G,jaspar,,4,aupr,0.6553268572043782
HNF4G,shape_and_jaspar,,main,aupr,0.7285283333431759
HNF4G,shape_and_jaspar,,0,aupr,0.7336295017360337
HNF4G,shape_and_jaspar,,1,aupr,0.6969338655561703
HNF4G,shape_and_jaspar,,2,aupr,0.7149865768340596
HNF4G,shape_and_jaspar,,3,aupr,0.6895424927551921
HNF4G,shape_and_jaspar,,4,aupr,0.6841861721402959
HNF4G,shape_and_seq_no_lasso,,main,aupr,0.7773576000225646
HNF4G,shape_and_seq_no_lasso,,0,aupr,0.7305001066449033
HNF4G,shape_and_seq_no_lasso,,1,aupr,0.6985446302105635
HNF4G,shape_and_seq_no_lasso,,2,aupr,0.6994193068656018
HNF4G,shape_and_seq_no_lasso,,3,aupr,0.7213138265069281
HNF4G,shape_and_seq_no_lasso,,4,aupr,0.7508248569846303
IRF4,seq,,main,aupr,0.6957763984898699
IRF4,seq,,0,aupr,0.7364556897262527
IRF4,seq,,1,aupr,0.6905202053455126
IRF4,seq,,2,aupr,0.7257765863344278
IRF4,seq,,3,aupr,0.6201996730006246
IRF4,seq,,4,aupr,0.612809872090706
IRF4,shape,,main,aupr,0.5739625485657985
IRF4,shape,,0,aupr,0.5622890866873065
IRF4,shape,,1,aupr,0.5394815808699562
IRF4,shape,,2,aupr,0.45938502506265666
IRF4,shape,,3,aupr,0.45635135135135135
IRF4,shape,,4,aupr,0.41902937788018435
IRF4,shape_and_seq,,main,aupr,0.7580857599015008
IRF4,shape_and_seq,,0,aupr,0.6868845576586348
IRF4,shape_and_seq,,1,aupr,0.716991191191085
IRF4,shape_and_seq,,2,aupr,0.7554257993465436
IRF4,shape_and_seq,,3,aupr,0.63499720879214
IRF4,shape_and_seq,,4,aupr,0.62991702029015
IRF4,jaspar,,main,aupr,
IRF4,jaspar,,0,aupr,0.6154649487836107
IRF4,jaspar,,1,aupr,0.6240743670886075
IRF4,jaspar,,2,aupr,0.6175
IRF4,jaspar,,3,aupr,0.6171819338422391
IRF4,jaspar,,4,aupr,0.6149872448979592
IRF4,shape_and_jaspar,,main,aupr,0.35524221867048406
